操作时间,操作类型,操作内容,关联对象,操作状态,备注
2025-11-10 22:18:50.383,文件管理,添加解密文件,共4个文件,成功,总解密文件数：4
2025-11-10 22:18:55.372,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试.docx
2025-11-10 22:18:55.425,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试.pptx
2025-11-10 22:18:55.481,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试.txt
2025-11-10 22:18:55.535,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试.xlsx
2025-11-10 22:18:55.537,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-10 22:19:20.204,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试_1.docx
2025-11-10 22:19:20.252,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试_1.pptx
2025-11-10 22:19:20.300,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试_1.txt
2025-11-10 22:19:20.350,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试_1.xlsx
2025-11-10 22:19:20.353,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-10 22:19:48.075,文件解密,人脸验证解密,共4个文件,失败,人脸验证未通过
2025-11-11 15:12:02.927,文件管理,添加解密文件,共4个文件,成功,总解密文件数：4
2025-11-11 15:15:48.840,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试_2.docx
2025-11-11 15:15:48.913,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试_2.pptx
2025-11-11 15:15:48.974,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试_2.txt
2025-11-11 15:15:49.037,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试_2.xlsx
2025-11-11 15:15:49.041,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-11 15:15:58.611,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试_3.docx
2025-11-11 15:15:58.666,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试_3.pptx
2025-11-11 15:15:58.714,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试_3.txt
2025-11-11 15:15:58.762,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试_3.xlsx
2025-11-11 15:15:58.764,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-11 15:16:09.218,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试_4.docx
2025-11-11 15:16:09.268,文件解密,解密单个文件,测试.pptx.enc,成功,保存至：测试_4.pptx
2025-11-11 15:16:09.317,文件解密,解密单个文件,测试.txt.enc,成功,保存至：测试_4.txt
2025-11-11 15:16:09.367,文件解密,解密单个文件,测试.xlsx.enc,成功,保存至：测试_4.xlsx
2025-11-11 15:16:09.370,文件解密,批量解密文件,共4个文件,完成,成功4个，失败0个
2025-11-11 15:16:14.509,文件解密,解密单个文件,测试.docx.enc,成功,保存至：测试_5.docx
